Chassis,ChassisModel,ChassisSerial,Slot,BladeModel,BladeSerial,OperState
r142c-1,UCSB-5108-AC2,FOX2528PK0Z,1,,,Empty
r142c-1,UCSB-5108-AC2,FOX2528PK0Z,2,,,Empty
r142c-1,UCSB-5108-AC2,FOX2528PK0Z,3,UCSB-B200-M5,FCH213271VU,Critical
r142c-1,UCSB-5108-AC2,FOX2528PK0Z,4,UCSB-B200-M5,FCH222974YZ,Critical
r142c-1,UCSB-5108-AC2,FOX2528PK0Z,5,,,Empty
r142c-1,UCSB-5108-AC2,FOX2528PK0Z,6,UCSB-B200-M5,FLM250803J8,Critical
r142c-1,UCSB-5108-AC2,FOX2528PK0Z,7,,,Empty
r142c-1,UCSB-5108-AC2,FOX2528PK0Z,8,,,Empty
r142c-2,UCSX-9508,FOX2501P0BF,1,,,Empty
r142c-2,UCSX-9508,FOX2501P0BF,2,,,Empty
r142c-2,UCSX-9508,FOX2501P0BF,3,,,Empty
r142c-2,UCSX-9508,FOX2501P0BF,4,,,Empty
r142c-2,UCSX-9508,FOX2501P0BF,5,,,Empty
r142c-2,UCSX-9508,FOX2501P0BF,6,UCSX-210C-M6,FCH243974WZ,OK
r142c-2,UCSX-9508,FOX2501P0BF,7,UCSX-210C-M6,FCH24397500,OK
r142c-2,UCSX-9508,FOX2501P0BF,8,UCSX-210C-M6,FCH243974V2,OK
r142a-1,UCSB-5108-AC2,FOX2308P6M7,1,,,Empty
r142a-1,UCSB-5108-AC2,FOX2308P6M7,2,,,Empty
r142a-1,UCSB-5108-AC2,FOX2308P6M7,3,,,Empty
r142a-1,UCSB-5108-AC2,FOX2308P6M7,4,,,Empty
r142a-1,UCSB-5108-AC2,FOX2308P6M7,5,UCSB-B200-M5,FCH21427JDU,operable
r142a-1,UCSB-5108-AC2,FOX2308P6M7,6,,,Empty
r142a-1,UCSB-5108-AC2,FOX2308P6M7,7,UCSB-B200-M5,FLM2509002F,operable
r142a-1,UCSB-5108-AC2,FOX2308P6M7,8,UCSB-B200-M5,FCH21427CHB,operable
r143e-2-1,UCSX-9508,FOX2611P8N8,1,,,Empty
r143e-2-1,UCSX-9508,FOX2611P8N8,2,,,Empty
r143e-2-1,UCSX-9508,FOX2611P8N8,3,UCSX-210C-M6,FCH26167LA9,OK
r143e-2-1,UCSX-9508,FOX2611P8N8,4,UCSX-210C-M6,FCH26167MFX,OK
r143e-2-1,UCSX-9508,FOX2611P8N8,5,,,Empty
r143e-2-1,UCSX-9508,FOX2611P8N8,6,,,Empty
r143e-2-1,UCSX-9508,FOX2611P8N8,7,UCSX-210C-M6,FCH26167MSB,OK
r143e-2-1,UCSX-9508,FOX2611P8N8,8,UCSX-210C-M6,FCH26167LRT,OK
r143e-1-1,UCSX-9508,FOX2611P8N1,1,,,Empty
r143e-1-1,UCSX-9508,FOX2611P8N1,2,,,Empty
r143e-1-1,UCSX-9508,FOX2611P8N1,3,,,Empty
r143e-1-1,UCSX-9508,FOX2611P8N1,4,,,Empty
r143e-1-1,UCSX-9508,FOX2611P8N1,5,UCSX-210C-M6,FCH26407DHP,OK
r143e-1-1,UCSX-9508,FOX2611P8N1,6,,,Empty
r143e-1-1,UCSX-9508,FOX2611P8N1,7,UCSX-210C-M6,FCH26407CXM,OK
r143e-1-1,UCSX-9508,FOX2611P8N1,8,UCSX-210C-M6,FCH26417734,OK
,,,,,,
,,,,,,
--- Summary by Chassis Model ---,,,,,,
Chassis Model,Slot Status,Count,,,,
UCSB-5108-AC2,Empty,10,,,,
UCSB-5108-AC2,Critical,3,,,,
UCSB-5108-AC2,operable,3,,,,
UCSX-9508,Empty,14,,,,
UCSX-9508,OK,10,,,,
